Minister_ID,First_Name,Last_Name,DOB,Sex,Prime_Minister,Political_Party,Start_Date,End_Date,Terms_Of_Service,S_ID
30,Evelynn,Baxter,23-12-1969,F,Evelynn,BJP,29-04-2013,22-02-2017,4,29
31,Lucas,Widdows,12-07-1978,M,Lucas,JantaDal,24-10-1966,02-09-1975,9,22
32,Evelynn,Kidd,17-04-1927,F,Evelynn,AAP,24-02-1991,09-07-1998,7,10
33,Grace,Campbell,08-03-1936,F,Grace,AAP,15-06-1986,29-10-2002,16,1
34,Enoch,Pearce,09-02-1925,M,Enoch,JantaDal,15-02-1969,16-04-1977,8,18
35,Joseph,Radley,17-04-1930,M,Joseph,JantaDal,28-09-2000,25-04-2007,7,17
36,Gina,Sylvester,08-01-1940,F,Gina,AAP,01-05-1947,07-06-1955,8,1
37,Bob,Parker,04-05-1953,M,Bob,BJP,11-11-2008,24-01-2013,5,2
38,Rocco,Torres,25-11-1936,M,Rocco,JantaDal,05-09-2014,10-11-2020,6,32
39,Denny,Radley,09-12-1989,M,Denny,AAP,06-08-2018,30-07-2022,4,29
40,Leilani,Booth,02-08-1976,F,Leilani,JantaDal,14-09-1967,11-01-1972,5,6
41,David,Allwood,22-11-1946,M,David,AAP,30-08-1974,23-07-1984,10,14
42,Felicity,John,30-05-1989,F,Felicity,AAP,14-05-2004,28-10-2011,7,18
43,Ramon,Bayliss,12-07-1985,M,Ramon,BJP,31-12-1948,14-12-1953,5,23
44,Thea,Addis,15-06-1989,F,Thea,JantaDal,09-04-1956,17-08-1961,5,8
45,Clint,Baker,04-04-1978,M,Clint,JantaDal,01-05-1963,12-11-1969,6,32
46,Maxwell,Rixon,11-01-1990,M,Maxwell,AAP,16-12-2005,05-01-2011,6,21
47,Wade,Burge,11-02-1980,M,Wade,BJP,24-07-1981,28-05-1990,9,25
48,Sara,Jarvis,10-04-1976,F,Sara,Congress,23-11-1972,01-04-1980,8,9
49,Sarah,Greenwood,13-08-1972,F,Sarah,Congress,20-01-2010,21-10-2016,6,26
50,Mason,Greenwood,04-01-1939,M,Mason,Congress,12-04-2008,27-05-2015,7,29
51,Elijah,Mcguire,13-05-1962,M,Elijah,JantaDal,12-07-1970,11-12-1975,5,1
52,Barney,Dale,18-04-1973,M,Barney,Congress,16-05-2000,29-10-2007,7,13
53,Kenzie,Samuel,07-09-1950,F,Kenzie,AAP,23-06-2007,31-08-2016,9,16
54,Alexander,Yates,27-03-1986,M,Alexander,JantaDal,27-07-1984,24-05-1990,6,5
55,Mary,London,10-04-1929,F,Mary,BJP,04-11-2000,13-12-2008,8,10
56,Kimberly,Beal,20-12-1937,F,Kimberly,Congress,04-09-1970,18-06-1984,14,10
57,Bob,Edmonds,01-05-1922,M,Bob,Congress,01-04-1996,30-11-2004,8,24
58,Daphne,Hooper,23-09-1970,F,Daphne,AAP,26-10-1990,15-04-1997,7,33
59,Doug,Wood,03-07-1950,M,Doug,JantaDal,12-01-1968,22-01-1974,6,23
60,Bob,Stanley,21-12-1953,M,Bob,JantaDal,19-01-1948,26-12-1955,7,27
61,Marina,Partridge,14-07-1923,F,Marina,Congress,23-05-1985,12-02-1995,10,20
62,Gwen,Khan,01-07-1943,F,Gwen,BJP,16-03-1993,30-03-2000,7,7
63,Britney,Fulton,21-01-1923,F,Britney,AAP,25-08-1988,10-07-1995,7,35
64,Isla,Mackenzie,13-04-1925,F,Isla,JantaDal,13-06-1989,20-10-1990,1,22
65,Wendy,Moore,22-09-1958,F,Wendy,BJP,09-08-1987,12-08-1996,9,25
66,Ramon,James,14-06-1942,M,Ramon,BJP,29-12-1968,07-09-1972,4,17
67,Jocelyn,Judd,17-08-1930,F,Jocelyn,BJP,13-11-1983,06-12-1985,2,18
68,Rhea,Avery,30-03-1975,F,Rhea,AAP,17-07-1961,09-03-1964,3,15
69,Rick,Graham,02-04-1987,M,Rick,Congress,10-09-2018,28-11-2021,3,1
70,Diane,Patel,04-03-1961,F,Diane,BJP,19-12-1979,04-12-1986,7,21
71,Renee,Quinn,11-07-1965,F,Renee,Congress,25-11-2011,01-12-2017,6,34
72,Barney,Harrison,23-06-1940,M,Barney,BJP,30-07-1964,26-10-1970,6,9
73,Benjamin,Trent,19-08-1925,M,Benjamin,Congress,18-11-1984,23-09-1990,6,33
74,Joseph,Wilcox,04-08-1967,M,Joseph,BJP,09-07-1966,01-05-1968,2,18
75,Anais,Groves,18-11-1946,F,Anais,BJP,06-10-1951,23-07-1957,6,34
76,Laila,Milner,17-03-1940,F,Laila,AAP,11-01-1975,12-07-1982,7,15
77,Mike,Watson,19-04-1926,M,Mike,BJP,01-08-1966,02-11-1969,3,13
78,Emmanuelle,Richards,01-03-1978,F,Emmanuelle,Congress,18-10-1988,15-05-1999,11,25
79,Hannah,Roth,27-04-1940,F,Hannah,Congress,07-06-1972,01-09-1979,7,5
80,Tom,Bullock,15-08-1953,M,Tom,BJP,16-03-2011,25-07-2012,1,11
